name,score,status
NC(=O)[C@@H]1CSCN1C(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCCC(=O)N1,4,PASS
C[NH+](C)CCCN1c2ccccc2CCc2ccccc21.[Cl-],4,PASS
CCc1c(C)[nH]c2c1C(=O)[C@@H]1CN(C)CC[C@H]1C2.Cl,4,PASS
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC.Cl,4,PASS
Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,3,PASS
C=CCN1CC[C@]2(C)c3cc(O)ccc3C[C@H]1[C@H]2C.Cl,4,PASS
CCN(CC)C(=O)C1(c2ccccc2)CC1CN.Cl,4,PASS
C[C@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@@H](C)N1.Cl.Cl.O,4,PASS
CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21.Cl,4,PASS
CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1.Cl,4,PASS
CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1.O=C(O)/C=C\C(=O)O,4,PASS
COC1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3C(C)=CC[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C6CCCCC6)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OCC(=CC=C[C@@H]3C)[C@@]45O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,1,FAIL
Cl.Cl.NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,4,PASS
CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1.CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,1,FAIL
CCN(CC)C(=O)C1(c2ccccc2)CC1CN,4,PASS
Cl.Cl.NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccccc32)CC1,3,PASS
CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1.CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1.O=C(O)C(O)C(O)C(=O)O,1,FAIL
Cl.NCC(CC(=O)O)c1ccccc1,4,PASS
O=C1N=C(N2CCCCC2)CN1c1ccc(Cl)cc1,4,PASS
Cl.O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(c2nsc3ccccc23)CC1,3,PASS
CCCc1c(Cn2ccnc2-c2ncccc2F)ncn2nc(C)nc12,4,PASS
CCOc1ccccc1O[C@H](c1ccccc1)[C@@H]1CNCCO1,4,PASS
CCCCCCCCCC(=O)OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,2,FAIL
CNC(CC(C)C)C1(c2ccc(Cl)cc2)CCC1,4,PASS
Cl.OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,3,PASS
CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,4,PASS
C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,4,PASS
Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,4,PASS
CCCN(CCC)CCc1ccc(OC)c(OCCc2ccccc2)c1.Cl,3,PASS
CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1.Cl,4,PASS
CC(Cc1c[nH]c2ccccc12)(NC(=O)OC1C2CC3CC(C2)CC1C3)C(=O)NCC(NC(=O)CCC(=O)O)c1ccccc1,3,PASS
O=C(NCCN1CCN(c2cccc3c2OC[C@@H](CO)O3)CC1)c1ccc(F)cc1,4,PASS
CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,4,PASS
CN(C)CC/C=C1\c2ccccc2CSc2ccccc21.Cl,3,PASS
CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2.Cl,4,PASS
NC(N)=NCCC[C@H](NC(=O)C(c1ccccc1)c1ccccc1)C(=O)NCc1ccc(O)cc1,4,PASS
CCCCCCCCCCCCCCCC(=O)OC1CCCn2c1nc(C)c(CCN1CCC(c3noc4cc(F)ccc34)CC1)c2=O,2,FAIL
Cl.Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1.O,4,PASS
CCCN(CCC)CCc1ccc(OC)c(OCCc2ccccc2)c1,4,PASS
